,ITTER107,Territorio,Tipo di coltivazione,Value
47424,ITD3,Veneto,fagiolo ,2739
47482,ITE3,Marche,pisello in piena aria,159776
47492,ITF2,Molise,arancia,360
47542,ITC4,Lombardia,fragola in serra,10765
47547,ITD4,Friuli-Venezia Giulia,canapa,620
47602,ITD3,Veneto,altri cereali,16671
47614,ITG2,Sardegna,nocciola,3697
47626,ITF4,Puglia,fragola in serra,790
47667,ITF3,Campania,sedano in serra,4100
47700,ITE4,Lazio,sorgo,6850
47733,ITF4,Puglia,mandorla,267500
47741,ITC1,Piemonte,cetriolo da mensa in serra,3310
47766,ITF2,Molise,melanzana in piena aria,6000
47851,ITF2,Molise,asparago in piena aria,200
47861,ITF2,Molise,patata comune ,29200
47926,ITF5,Basilicata,girasole,560
47949,ITD5,Emilia-Romagna,finocchio in piena aria,47560
47989,ITD5,Emilia-Romagna,fagiolino in serra,624
48008,ITD3,Veneto,barbabietola da orto,1599
48029,ITG1,Sicilia,cocomero in serra,167600
48045,ITF3,Campania,girasole,4100
48063,ITE4,Lazio,pera,26330
48098,ITD5,Emilia-Romagna,ravanello in serra,1320
48127,ITE3,Marche,fagiolo e fagiolino in piena aria,84109
48238,ITE3,Marche,sorgo,85092
48381,ITF5,Basilicata,mais,38759
48396,ITF3,Campania,albicocca,547970
48398,ITD5,Emilia-Romagna,fragola in serra,16598
48479,ITF3,Campania,mais,1025250
48483,ITG2,Sardegna,fragola in piena aria,2270
48488,ITD4,Friuli-Venezia Giulia,fragola in piena aria,1036
48495,ITC3,Liguria,nocciola,1006
48497,ITC4,Lombardia,lino,1360
48531,ITC1,Piemonte,mela,1902182
48583,ITD3,Veneto,sorgo,194500
48611,ITF1,Abruzzo,fagiolino in serra,1972
48664,ITE2,Umbria,albicocca,1700
48727,ITF3,Campania,basilico in serra,9280
48747,ITE1,Toscana,sorgo,129305
48792,ITC1,Piemonte,lattuga in serra,20074
48828,ITC4,Lombardia,canapa,7824
48925,ITF4,Puglia,canapa,800
48989,ITE1,Toscana,pisello in piena aria,6141
48995,ITF1,Abruzzo,colza,100
49004,ITE2,Umbria,cetriolo da mensa in serra,1400
49044,ITF6,Calabria,cocomero in serra,3135
49050,ITF5,Basilicata,clementine,245560
49143,ITC1,Piemonte,lattuga in piena aria,46203
49199,ITD5,Emilia-Romagna,prezzemolo in piena aria,23514
49251,ITF2,Molise,altri cereali,1600
49313,ITF6,Calabria,patata primaticcia ,70020
49329,ITG2,Sardegna,mandarino,112697
49334,ITG2,Sardegna,limone,44488
49464,ITF6,Calabria,fava fresca in piena aria,36267
49475,ITC3,Liguria,carota in serra,345
49516,ITD5,Emilia-Romagna,radicchio o cicoria in piena aria,226126
49571,ITD5,Emilia-Romagna,basilico in serra,564
49595,ITD5,Emilia-Romagna,albicocca,627112
49629,ITF4,Puglia,lattuga in serra,7830
49645,ITF2,Molise,fagiolo ,1970
49670,ITC2,Valle d'Aosta / Vallée d'Aoste,mais,1400
49688,ITD3,Veneto,indivia (riccia e scarola) in piena aria,8387
49705,ITC4,Lombardia,pisello proteico ,155379
49709,ITD4,Friuli-Venezia Giulia,albicocca,1311
49715,ITG1,Sicilia,mandorla,473455
49744,ITF1,Abruzzo,mais,610296
49746,ITF3,Campania,nocciola,386763
49766,ITG1,Sicilia,fagiolino in serra,73585
49847,ITG1,Sicilia,finocchio in piena aria,346600
49861,ITF5,Basilicata,nocciola,1108
49881,ITD3,Veneto,fragola in piena aria,14765
49948,ITF3,Campania,bieta da orto in serra,1460
49987,ITE4,Lazio,lino,900
49989,ITE4,Lazio,colza,4920
50010,ITD5,Emilia-Romagna,bietola in serra,3938
50026,ITF4,Puglia,bietola da costa in piena aria,134830
50055,ITE2,Umbria,sorgo,25510
50057,ITG2,Sardegna,broccoletto di rapa in piena aria,2942
50085,ITD3,Veneto,spinacio in serra,14578
50087,ITD4,Friuli-Venezia Giulia,radicchio o cicoria in piena aria,4283
50089,ITD4,Friuli-Venezia Giulia,aglio e scalogno in piena aria,483
50106,ITC3,Liguria,lattuga in serra,6090
50110,ITG1,Sicilia,fragola in serra,26536
